TRACK,TREATMENT,LABEL,FUTURE,ADJUST,METHOD,CURVE
2,CC,product.HarvestedVolume.managed.CW.CC,0,R,,41
2,CC,product.HarvestedVolume.managed.DR.CC,0,R,,42
2,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,43
2,CC,product.HarvestedVolume.managed.HW.CC,0,R,,44
2,CC,product.HarvestedVolume.managed.SS.CC,0,R,,45
2,CC,product.HarvestedVolume.managed.Total.CC,0,R,,46
2,CC,product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,0,R,,47
2,CC,product.Seral.area.immature.CWHvm_DR_HW_M.CC,0,R,,48
2,CC,product.Seral.area.mature.CWHvm_DR_HW_M.CC,0,R,,49
2,CC,product.Seral.area.overmature.CWHvm_DR_HW_M.CC,0,R,,50
2,CC,product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,0,R,,47
2,CC,product.Seral.area.young.CWHvm_DR_HW_M.CC,0,R,,47
2,CC,product.SpeciesProp.managed.CW,0,R,,51
2,CC,product.SpeciesProp.managed.DR,0,R,,52
2,CC,product.SpeciesProp.managed.FDC,0,R,,53
2,CC,product.SpeciesProp.managed.HW,0,R,,54
2,CC,product.SpeciesProp.managed.SS,0,R,,55
2,CC,product.Treated.managed.CC,0,R,,56
2,CC,product.Treated.managed.CWHvm_DR_HW_M.CC,0,R,,56
2,CC,product.Yield.managed.CW,0,R,,41
2,CC,product.Yield.managed.DR,0,R,,42
2,CC,product.Yield.managed.FDC,0,R,,43
2,CC,product.Yield.managed.HW,0,R,,44
2,CC,product.Yield.managed.SS,0,R,,45
2,CC,product.Yield.managed.Total,0,R,,46
4,CC,product.HarvestedVolume.managed.BA.CC,0,R,,86
4,CC,product.HarvestedVolume.managed.CW.CC,0,R,,87
4,CC,product.HarvestedVolume.managed.DR.CC,0,R,,88
4,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,89
4,CC,product.HarvestedVolume.managed.HW.CC,0,R,,90
4,CC,product.HarvestedVolume.managed.PL.CC,0,R,,91
4,CC,product.HarvestedVolume.managed.SS.CC,0,R,,91
4,CC,product.HarvestedVolume.managed.Total.CC,0,R,,92
4,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,93
4,CC,product.Seral.area.immature.CWHvm_FDC_HW_H.CC,0,R,,94
4,CC,product.Seral.area.mature.CWHvm_FDC_HW_H.CC,0,R,,95
4,CC,product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,0,R,,96
4,CC,product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,0,R,,93
4,CC,product.Seral.area.young.CWHvm_FDC_HW_H.CC,0,R,,93
4,CC,product.SpeciesProp.managed.BA,0,R,,97
