TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.DR,,11
1,feature.SpeciesProp.unmanaged.FDC,,12
1,feature.SpeciesProp.unmanaged.HW,,13
1,feature.SpeciesProp.unmanaged.SS,,14
1,feature.Yield.unmanaged.CW,,15
1,feature.Yield.unmanaged.DR,,16
1,feature.Yield.unmanaged.FDC,,17
1,feature.Yield.unmanaged.HW,,18
1,feature.Yield.unmanaged.SS,,19
1,feature.Yield.unmanaged.Total,,20
2,feature.Area.managed,,21
2,feature.Area.og1.CWHvm_DR_HW_M,,22
2,feature.Area.og1.total,,22
2,feature.Area.og2.CWHvm_DR_HW_M,,23
2,feature.Area.og2.total,,23
2,feature.Height.managed.CWHvm_DR_HW_M,,24
2,feature.QMD.managed.CWHvm_DR_HW_M,,4
2,feature.Seral.CWHvm_DR_HW_M.immature,,25
2,feature.Seral.CWHvm_DR_HW_M.mature,,26
2,feature.Seral.CWHvm_DR_HW_M.overmature,,27
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,28
2,feature.Seral.CWHvm_DR_HW_M.young,,29
2,feature.Seral.immature,,25
2,feature.Seral.mature,,26
2,feature.Seral.overmature,,27
2,feature.Seral.regenerating,,28
2,feature.Seral.young,,29
2,feature.SpeciesProp.managed.CW,,30
2,feature.SpeciesProp.managed.DR,,31
2,feature.SpeciesProp.managed.FDC,,32
2,feature.SpeciesProp.managed.HW,,33
2,feature.SpeciesProp.managed.SS,,34
2,feature.Yield.managed.CW,,35
2,feature.Yield.managed.DR,,36
2,feature.Yield.managed.FDC,,37
2,feature.Yield.managed.HW,,38
2,feature.Yield.managed.SS,,39
2,feature.Yield.managed.Total,,40
3,feature.Area.og1.CWHvm_FDC_HW_H,,57
3,feature.Area.og1.total,,57
3,feature.Area.og2.CWHvm_FDC_HW_H,,23
3,feature.Area.og2.total,,23
3,feature.Area.unmanaged,,21
3,feature.Height.unmanaged.CWHvm_FDC_HW_H,,58
3,feature.QMD.unmanaged.CWHvm_FDC_HW_H,,4
3,feature.Seral.CWHvm_FDC_HW_H.immature,,59
3,feature.Seral.CWHvm_FDC_HW_H.mature,,60
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,61
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,28
3,feature.Seral.CWHvm_FDC_HW_H.young,,29
3,feature.Seral.immature,,59
3,feature.Seral.mature,,60
3,feature.Seral.overmature,,61
3,feature.Seral.regenerating,,28
3,feature.Seral.young,,29
3,feature.SpeciesProp.unmanaged.BA,,62
3,feature.SpeciesProp.unmanaged.CW,,63
3,feature.SpeciesProp.unmanaged.DR,,64
3,feature.SpeciesProp.unmanaged.FDC,,65
3,feature.SpeciesProp.unmanaged.HW,,66
3,feature.SpeciesProp.unmanaged.PL,,67
3,feature.SpeciesProp.unmanaged.SS,,67
3,feature.Yield.unmanaged.BA,,68
3,feature.Yield.unmanaged.CW,,69
3,feature.Yield.unmanaged.DR,,70
3,feature.Yield.unmanaged.FDC,,71
3,feature.Yield.unmanaged.HW,,72
3,feature.Yield.unmanaged.PL,,73
3,feature.Yield.unmanaged.SS,,73
3,feature.Yield.unmanaged.Total,,74
4,feature.Area.managed,,21
4,feature.Area.og1.CWHvm_FDC_HW_H,,57
4,feature.Area.og1.total,,57
4,feature.Area.og2.CWHvm_FDC_HW_H,,23
4,feature.Area.og2.total,,23
4,feature.Height.managed.CWHvm_FDC_HW_H,,75
4,feature.QMD.managed.CWHvm_FDC_HW_H,,4
4,feature.Seral.CWHvm_FDC_HW_H.immature,,59
4,feature.Seral.CWHvm_FDC_HW_H.mature,,60
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,61
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,28
4,feature.Seral.CWHvm_FDC_HW_H.young,,29
4,feature.Seral.immature,,59
4,feature.Seral.mature,,60
4,feature.Seral.overmature,,61
4,feature.Seral.regenerating,,28
4,feature.Seral.young,,29
4,feature.SpeciesProp.managed.BA,,62
4,feature.SpeciesProp.managed.CW,,63
4,feature.SpeciesProp.managed.DR,,76
4,feature.SpeciesProp.managed.FDC,,77
4,feature.SpeciesProp.managed.HW,,66
4,feature.SpeciesProp.managed.PL,,78
4,feature.SpeciesProp.managed.SS,,78
4,feature.Yield.managed.BA,,79
4,feature.Yield.managed.CW,,80
4,feature.Yield.managed.DR,,81
4,feature.Yield.managed.FDC,,82
4,feature.Yield.managed.HW,,83
4,feature.Yield.managed.PL,,84
4,feature.Yield.managed.SS,,84
4,feature.Yield.managed.Total,,85
5,feature.Area.og1.CWHvm_HW_CW_M,,104
5,feature.Area.og1.total,,104
5,feature.Area.og2.CWHvm_HW_CW_M,,23
5,feature.Area.og2.total,,23
5,feature.Area.unmanaged,,21
5,feature.Height.unmanaged.CWHvm_HW_CW_M,,105
5,feature.QMD.unmanaged.CWHvm_HW_CW_M,,4
5,feature.Seral.CWHvm_HW_CW_M.immature,,106
5,feature.Seral.CWHvm_HW_CW_M.mature,,107
5,feature.Seral.CWHvm_HW_CW_M.overmature,,108
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,28
5,feature.Seral.CWHvm_HW_CW_M.young,,29
5,feature.Seral.immature,,106
5,feature.Seral.mature,,107
5,feature.Seral.overmature,,108
5,feature.Seral.regenerating,,28
5,feature.Seral.young,,29
5,feature.SpeciesProp.unmanaged.BA,,109
5,feature.SpeciesProp.unmanaged.CW,,110
5,feature.SpeciesProp.unmanaged.DR,,111
5,feature.SpeciesProp.unmanaged.FDC,,112
5,feature.SpeciesProp.unmanaged.HW,,113
5,feature.SpeciesProp.unmanaged.PLC,,114
5,feature.SpeciesProp.unmanaged.SS,,115
5,feature.SpeciesProp.unmanaged.YC,,116
5,feature.Yield.unmanaged.BA,,117
5,feature.Yield.unmanaged.CW,,118
5,feature.Yield.unmanaged.DR,,119
5,feature.Yield.unmanaged.FDC,,120
5,feature.Yield.unmanaged.HW,,121
5,feature.Yield.unmanaged.PLC,,122
5,feature.Yield.unmanaged.SS,,123
5,feature.Yield.unmanaged.Total,,124
5,feature.Yield.unmanaged.YC,,125
6,feature.Area.managed,,21
6,feature.Area.og1.CWHvm_HW_CW_M,,104
6,feature.Area.og1.total,,104
6,feature.Area.og2.CWHvm_HW_CW_M,,23
6,feature.Area.og2.total,,23
6,feature.Height.managed.CWHvm_HW_CW_M,,126
6,feature.QMD.managed.CWHvm_HW_CW_M,,4
6,feature.Seral.CWHvm_HW_CW_M.immature,,106
6,feature.Seral.CWHvm_HW_CW_M.mature,,107
6,feature.Seral.CWHvm_HW_CW_M.overmature,,108
6,feature.Seral.CWHvm_HW_CW_M.regenerating,,28
6,feature.Seral.CWHvm_HW_CW_M.young,,29
6,feature.Seral.immature,,106
6,feature.Seral.mature,,107
6,feature.Seral.overmature,,108
6,feature.Seral.regenerating,,28
6,feature.Seral.young,,29
6,feature.SpeciesProp.managed.BA,,127
6,feature.SpeciesProp.managed.CW,,128
6,feature.SpeciesProp.managed.DR,,129
6,feature.SpeciesProp.managed.FDC,,130
6,feature.SpeciesProp.managed.HW,,131
6,feature.SpeciesProp.managed.PLC,,132
6,feature.SpeciesProp.managed.SS,,133
6,feature.SpeciesProp.managed.YC,,116
6,feature.Yield.managed.BA,,134
6,feature.Yield.managed.CW,,135
6,feature.Yield.managed.DR,,136
6,feature.Yield.managed.FDC,,137
6,feature.Yield.managed.HW,,138
6,feature.Yield.managed.PLC,,139
6,feature.Yield.managed.SS,,140
6,feature.Yield.managed.Total,,141
6,feature.Yield.managed.YC,,142
7,feature.Area.og1.CWHvm_HW_FDC_H,,165
7,feature.Area.og1.total,,165
7,feature.Area.og2.CWHvm_HW_FDC_H,,23
7,feature.Area.og2.total,,23
7,feature.Area.unmanaged,,21
